iter	MultiClass
0	2.143941829
1	2.093957432
2	2.051273659
3	2.010210812
4	1.969524621
5	1.933314084
6	1.898584116
7	1.867643037
8	1.839327282
9	1.810260145
10	1.7834611
11	1.757267024
12	1.732838418
13	1.708660659
14	1.686467569
15	1.664707185
16	1.645454236
17	1.62428004
18	1.606201804
19	1.586772063
20	1.569825793
21	1.552917082
22	1.536622035
23	1.520543893
24	1.504181364
25	1.489062995
26	1.473922072
27	1.461095266
28	1.448540688
29	1.436902033
30	1.424210782
31	1.413682197
32	1.401209528
33	1.389793208
34	1.378579475
35	1.370445315
36	1.359846057
37	1.349638511
38	1.340604959
39	1.331787944
40	1.322332029
41	1.312568274
42	1.303422942
43	1.295836657
44	1.288863359
45	1.28095715
46	1.273361905
47	1.265452749
48	1.257780018
49	1.251792021
50	1.24489518
51	1.236797753
52	1.230856577
53	1.225293913
54	1.218880742
55	1.213736571
56	1.207584656
57	1.202625661
58	1.196549059
59	1.190922669
60	1.185701165
61	1.180815987
62	1.176472653
63	1.171299442
64	1.166305913
65	1.161355066
66	1.157426091
67	1.152027801
68	1.14832452
69	1.143037193
70	1.139521729
71	1.13535277
72	1.131165606
73	1.127071795
74	1.122927277
75	1.118908932
76	1.114270103
77	1.109975008
78	1.106163054
79	1.101972533
80	1.098198042
81	1.094136813
82	1.090560277
83	1.086913139
84	1.083580006
85	1.080035435
86	1.076167011
87	1.073404822
88	1.070569222
89	1.067131204
90	1.063416571
91	1.060003672
92	1.0565709
93	1.053074047
94	1.049587486
95	1.047178044
96	1.043447865
97	1.040398067
98	1.037791015
99	1.034625372
100	1.031527168
101	1.028272652
102	1.025358525
103	1.02290672
104	1.019954717
105	1.01715384
106	1.014089055
107	1.01153357
108	1.008645112
109	1.005937535
110	1.003473175
111	1.001402343
112	0.9987387227
113	0.9964663483
114	0.9940236675
115	0.9913116388
116	0.9891643287
117	0.9868977823
118	0.9845573026
119	0.9827695483
120	0.980696772
121	0.978604201
122	0.9764694144
123	0.9750282111
124	0.9736461773
125	0.9716417125
126	0.9690955364
127	0.9665236688
128	0.9643897893
129	0.9626918858
130	0.9605921396
131	0.9581471835
132	0.9565023485
133	0.9549204775
134	0.9524409028
135	0.9500327063
136	0.9474262967
137	0.9455269924
138	0.9442963279
139	0.9426133455
140	0.941117538
141	0.9401334697
142	0.9382554154
143	0.9365204887
144	0.9343393149
145	0.9332370521
146	0.9315281368
147	0.9292109062
148	0.9272285788
149	0.9252099137
150	0.9241150766
151	0.9225774436
152	0.9203872841
153	0.9193956598
154	0.9180544316
155	0.9167403898
156	0.9162405147
157	0.9155083951
158	0.9134107772
159	0.9114571846
160	0.909785011
161	0.9083301502
162	0.9061769725
163	0.9041011231
164	0.9026322311
165	0.9010234962
166	0.8998303171
167	0.898049091
168	0.8961243034
169	0.8944470034
170	0.8924589621
171	0.8904357974
172	0.8889001289
173	0.8874448708
174	0.88544877
175	0.8841555774
176	0.8830796927
177	0.8814784974
178	0.8802358927
179	0.8787977368
180	0.8774746812
181	0.8761100702
182	0.8748113033
183	0.8729954624
184	0.8711771212
185	0.869650436
186	0.8682109844
187	0.8665343723
188	0.8650871197
